family,dataset,mask_probability,mask_seed,left_model,right_model,metric,comparison_type
public__amazon_google__p30__seed20260727__hit_at_1,amazon_google,0.3,20260727,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p30__seed20260727__reciprocal_rank,amazon_google,0.3,20260727,jina_finetuned,roberta_finetuned,reciprocal_rank,within_standalone
public__amazon_google__p30__seed20260727__hit_at_1,amazon_google,0.3,20260727,jina_finetuned,roberta_finetuned,hit_at_1,within_standalone
public__amazon_google__p30__seed20260727__reciprocal_rank,amazon_google,0.3,20260727,official_ditto_plain,official_ditto_mixda,reciprocal_rank,within_standalone
public__amazon_google__p30__seed20260727__hit_at_1,amazon_google,0.3,20260727,official_ditto_plain,official_ditto_mixda,hit_at_1,within_standalone
public__amazon_google__p30__seed20260727__reciprocal_rank,amazon_google,0.3,20260727,hef_linear_bert,hef_linear_bge,reciprocal_rank,within_linear
public__amazon_google__p30__seed20260727__hit_at_1,amazon_google,0.3,20260727,hef_linear_bert,hef_linear_bge,hit_at_1,within_linear
public__amazon_google__p30__seed20260727__reciprocal_rank,amazon_google,0.3,20260727,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,reciprocal_rank,within_gbdt
public__amazon_google__p30__seed20260727__hit_at_1,amazon_google,0.3,20260727,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,hit_at_1,within_gbdt
public__amazon_google__p30__seed20260727__reciprocal_rank,amazon_google,0.3,20260727,joint_neural_hef_roberta,joint_neural_hef_jina,reciprocal_rank,within_joint
public__amazon_google__p30__seed20260727__hit_at_1,amazon_google,0.3,20260727,joint_neural_hef_roberta,joint_neural_hef_jina,hit_at_1,within_joint
public__amazon_google__p50__seed20260725__reciprocal_rank,amazon_google,0.5,20260725,jina_finetuned,hef_linear_bert,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260725__hit_at_1,amazon_google,0.5,20260725,jina_finetuned,hef_linear_bert,hit_at_1,cross_family
public__amazon_google__p50__seed20260725__reciprocal_rank,amazon_google,0.5,20260725,jina_finetuned,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260725__hit_at_1,amazon_google,0.5,20260725,jina_finetuned,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__amazon_google__p50__seed20260725__reciprocal_rank,amazon_google,0.5,20260725,jina_finetuned,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260725__hit_at_1,amazon_google,0.5,20260725,jina_finetuned,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p50__seed20260725__reciprocal_rank,amazon_google,0.5,20260725,hef_linear_bert,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260725__hit_at_1,amazon_google,0.5,20260725,hef_linear_bert,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__amazon_google__p50__seed20260725__reciprocal_rank,amazon_google,0.5,20260725,hef_linear_bert,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260725__hit_at_1,amazon_google,0.5,20260725,hef_linear_bert,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p50__seed20260725__reciprocal_rank,amazon_google,0.5,20260725,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260725__hit_at_1,amazon_google,0.5,20260725,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p50__seed20260725__reciprocal_rank,amazon_google,0.5,20260725,jina_finetuned,roberta_finetuned,reciprocal_rank,within_standalone
public__amazon_google__p50__seed20260725__hit_at_1,amazon_google,0.5,20260725,jina_finetuned,roberta_finetuned,hit_at_1,within_standalone
public__amazon_google__p50__seed20260725__reciprocal_rank,amazon_google,0.5,20260725,official_ditto_plain,official_ditto_mixda,reciprocal_rank,within_standalone
public__amazon_google__p50__seed20260725__hit_at_1,amazon_google,0.5,20260725,official_ditto_plain,official_ditto_mixda,hit_at_1,within_standalone
public__amazon_google__p50__seed20260725__reciprocal_rank,amazon_google,0.5,20260725,hef_linear_bert,hef_linear_bge,reciprocal_rank,within_linear
public__amazon_google__p50__seed20260725__hit_at_1,amazon_google,0.5,20260725,hef_linear_bert,hef_linear_bge,hit_at_1,within_linear
public__amazon_google__p50__seed20260725__reciprocal_rank,amazon_google,0.5,20260725,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,reciprocal_rank,within_gbdt
public__amazon_google__p50__seed20260725__hit_at_1,amazon_google,0.5,20260725,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,hit_at_1,within_gbdt
public__amazon_google__p50__seed20260725__reciprocal_rank,amazon_google,0.5,20260725,joint_neural_hef_roberta,joint_neural_hef_jina,reciprocal_rank,within_joint
public__amazon_google__p50__seed20260725__hit_at_1,amazon_google,0.5,20260725,joint_neural_hef_roberta,joint_neural_hef_jina,hit_at_1,within_joint
public__amazon_google__p50__seed20260726__reciprocal_rank,amazon_google,0.5,20260726,jina_finetuned,hef_linear_bert,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260726__hit_at_1,amazon_google,0.5,20260726,jina_finetuned,hef_linear_bert,hit_at_1,cross_family
public__amazon_google__p50__seed20260726__reciprocal_rank,amazon_google,0.5,20260726,jina_finetuned,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260726__hit_at_1,amazon_google,0.5,20260726,jina_finetuned,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__amazon_google__p50__seed20260726__reciprocal_rank,amazon_google,0.5,20260726,jina_finetuned,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260726__hit_at_1,amazon_google,0.5,20260726,jina_finetuned,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p50__seed20260726__reciprocal_rank,amazon_google,0.5,20260726,hef_linear_bert,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260726__hit_at_1,amazon_google,0.5,20260726,hef_linear_bert,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__amazon_google__p50__seed20260726__reciprocal_rank,amazon_google,0.5,20260726,hef_linear_bert,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260726__hit_at_1,amazon_google,0.5,20260726,hef_linear_bert,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p50__seed20260726__reciprocal_rank,amazon_google,0.5,20260726,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260726__hit_at_1,amazon_google,0.5,20260726,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p50__seed20260726__reciprocal_rank,amazon_google,0.5,20260726,jina_finetuned,roberta_finetuned,reciprocal_rank,within_standalone
public__amazon_google__p50__seed20260726__hit_at_1,amazon_google,0.5,20260726,jina_finetuned,roberta_finetuned,hit_at_1,within_standalone
public__amazon_google__p50__seed20260726__reciprocal_rank,amazon_google,0.5,20260726,official_ditto_plain,official_ditto_mixda,reciprocal_rank,within_standalone
public__amazon_google__p50__seed20260726__hit_at_1,amazon_google,0.5,20260726,official_ditto_plain,official_ditto_mixda,hit_at_1,within_standalone
public__amazon_google__p50__seed20260726__reciprocal_rank,amazon_google,0.5,20260726,hef_linear_bert,hef_linear_bge,reciprocal_rank,within_linear
public__amazon_google__p50__seed20260726__hit_at_1,amazon_google,0.5,20260726,hef_linear_bert,hef_linear_bge,hit_at_1,within_linear
public__amazon_google__p50__seed20260726__reciprocal_rank,amazon_google,0.5,20260726,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,reciprocal_rank,within_gbdt
public__amazon_google__p50__seed20260726__hit_at_1,amazon_google,0.5,20260726,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,hit_at_1,within_gbdt
public__amazon_google__p50__seed20260726__reciprocal_rank,amazon_google,0.5,20260726,joint_neural_hef_roberta,joint_neural_hef_jina,reciprocal_rank,within_joint
public__amazon_google__p50__seed20260726__hit_at_1,amazon_google,0.5,20260726,joint_neural_hef_roberta,joint_neural_hef_jina,hit_at_1,within_joint
public__amazon_google__p50__seed20260727__reciprocal_rank,amazon_google,0.5,20260727,jina_finetuned,hef_linear_bert,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260727__hit_at_1,amazon_google,0.5,20260727,jina_finetuned,hef_linear_bert,hit_at_1,cross_family
public__amazon_google__p50__seed20260727__reciprocal_rank,amazon_google,0.5,20260727,jina_finetuned,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260727__hit_at_1,amazon_google,0.5,20260727,jina_finetuned,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__amazon_google__p50__seed20260727__reciprocal_rank,amazon_google,0.5,20260727,jina_finetuned,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260727__hit_at_1,amazon_google,0.5,20260727,jina_finetuned,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p50__seed20260727__reciprocal_rank,amazon_google,0.5,20260727,hef_linear_bert,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260727__hit_at_1,amazon_google,0.5,20260727,hef_linear_bert,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__amazon_google__p50__seed20260727__reciprocal_rank,amazon_google,0.5,20260727,hef_linear_bert,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260727__hit_at_1,amazon_google,0.5,20260727,hef_linear_bert,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p50__seed20260727__reciprocal_rank,amazon_google,0.5,20260727,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p50__seed20260727__hit_at_1,amazon_google,0.5,20260727,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p50__seed20260727__reciprocal_rank,amazon_google,0.5,20260727,jina_finetuned,roberta_finetuned,reciprocal_rank,within_standalone
public__amazon_google__p50__seed20260727__hit_at_1,amazon_google,0.5,20260727,jina_finetuned,roberta_finetuned,hit_at_1,within_standalone
public__amazon_google__p50__seed20260727__reciprocal_rank,amazon_google,0.5,20260727,official_ditto_plain,official_ditto_mixda,reciprocal_rank,within_standalone
public__amazon_google__p50__seed20260727__hit_at_1,amazon_google,0.5,20260727,official_ditto_plain,official_ditto_mixda,hit_at_1,within_standalone
public__amazon_google__p50__seed20260727__reciprocal_rank,amazon_google,0.5,20260727,hef_linear_bert,hef_linear_bge,reciprocal_rank,within_linear
public__amazon_google__p50__seed20260727__hit_at_1,amazon_google,0.5,20260727,hef_linear_bert,hef_linear_bge,hit_at_1,within_linear
public__amazon_google__p50__seed20260727__reciprocal_rank,amazon_google,0.5,20260727,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,reciprocal_rank,within_gbdt
public__amazon_google__p50__seed20260727__hit_at_1,amazon_google,0.5,20260727,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,hit_at_1,within_gbdt
public__amazon_google__p50__seed20260727__reciprocal_rank,amazon_google,0.5,20260727,joint_neural_hef_roberta,joint_neural_hef_jina,reciprocal_rank,within_joint
public__amazon_google__p50__seed20260727__hit_at_1,amazon_google,0.5,20260727,joint_neural_hef_roberta,joint_neural_hef_jina,hit_at_1,within_joint
public__amazon_google__p70__seed20260725__reciprocal_rank,amazon_google,0.7,20260725,jina_finetuned,hef_linear_bert,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260725__hit_at_1,amazon_google,0.7,20260725,jina_finetuned,hef_linear_bert,hit_at_1,cross_family
public__amazon_google__p70__seed20260725__reciprocal_rank,amazon_google,0.7,20260725,jina_finetuned,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260725__hit_at_1,amazon_google,0.7,20260725,jina_finetuned,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__amazon_google__p70__seed20260725__reciprocal_rank,amazon_google,0.7,20260725,jina_finetuned,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260725__hit_at_1,amazon_google,0.7,20260725,jina_finetuned,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p70__seed20260725__reciprocal_rank,amazon_google,0.7,20260725,hef_linear_bert,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260725__hit_at_1,amazon_google,0.7,20260725,hef_linear_bert,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__amazon_google__p70__seed20260725__reciprocal_rank,amazon_google,0.7,20260725,hef_linear_bert,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260725__hit_at_1,amazon_google,0.7,20260725,hef_linear_bert,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p70__seed20260725__reciprocal_rank,amazon_google,0.7,20260725,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260725__hit_at_1,amazon_google,0.7,20260725,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p70__seed20260725__reciprocal_rank,amazon_google,0.7,20260725,jina_finetuned,roberta_finetuned,reciprocal_rank,within_standalone
public__amazon_google__p70__seed20260725__hit_at_1,amazon_google,0.7,20260725,jina_finetuned,roberta_finetuned,hit_at_1,within_standalone
public__amazon_google__p70__seed20260725__reciprocal_rank,amazon_google,0.7,20260725,official_ditto_plain,official_ditto_mixda,reciprocal_rank,within_standalone
public__amazon_google__p70__seed20260725__hit_at_1,amazon_google,0.7,20260725,official_ditto_plain,official_ditto_mixda,hit_at_1,within_standalone
public__amazon_google__p70__seed20260725__reciprocal_rank,amazon_google,0.7,20260725,hef_linear_bert,hef_linear_bge,reciprocal_rank,within_linear
public__amazon_google__p70__seed20260725__hit_at_1,amazon_google,0.7,20260725,hef_linear_bert,hef_linear_bge,hit_at_1,within_linear
public__amazon_google__p70__seed20260725__reciprocal_rank,amazon_google,0.7,20260725,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,reciprocal_rank,within_gbdt
public__amazon_google__p70__seed20260725__hit_at_1,amazon_google,0.7,20260725,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,hit_at_1,within_gbdt
public__amazon_google__p70__seed20260725__reciprocal_rank,amazon_google,0.7,20260725,joint_neural_hef_roberta,joint_neural_hef_jina,reciprocal_rank,within_joint
public__amazon_google__p70__seed20260725__hit_at_1,amazon_google,0.7,20260725,joint_neural_hef_roberta,joint_neural_hef_jina,hit_at_1,within_joint
public__amazon_google__p70__seed20260726__reciprocal_rank,amazon_google,0.7,20260726,jina_finetuned,hef_linear_bert,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260726__hit_at_1,amazon_google,0.7,20260726,jina_finetuned,hef_linear_bert,hit_at_1,cross_family
public__amazon_google__p70__seed20260726__reciprocal_rank,amazon_google,0.7,20260726,jina_finetuned,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260726__hit_at_1,amazon_google,0.7,20260726,jina_finetuned,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__amazon_google__p70__seed20260726__reciprocal_rank,amazon_google,0.7,20260726,jina_finetuned,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260726__hit_at_1,amazon_google,0.7,20260726,jina_finetuned,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p70__seed20260726__reciprocal_rank,amazon_google,0.7,20260726,hef_linear_bert,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260726__hit_at_1,amazon_google,0.7,20260726,hef_linear_bert,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__amazon_google__p70__seed20260726__reciprocal_rank,amazon_google,0.7,20260726,hef_linear_bert,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260726__hit_at_1,amazon_google,0.7,20260726,hef_linear_bert,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p70__seed20260726__reciprocal_rank,amazon_google,0.7,20260726,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260726__hit_at_1,amazon_google,0.7,20260726,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p70__seed20260726__reciprocal_rank,amazon_google,0.7,20260726,jina_finetuned,roberta_finetuned,reciprocal_rank,within_standalone
public__amazon_google__p70__seed20260726__hit_at_1,amazon_google,0.7,20260726,jina_finetuned,roberta_finetuned,hit_at_1,within_standalone
public__amazon_google__p70__seed20260726__reciprocal_rank,amazon_google,0.7,20260726,official_ditto_plain,official_ditto_mixda,reciprocal_rank,within_standalone
public__amazon_google__p70__seed20260726__hit_at_1,amazon_google,0.7,20260726,official_ditto_plain,official_ditto_mixda,hit_at_1,within_standalone
public__amazon_google__p70__seed20260726__reciprocal_rank,amazon_google,0.7,20260726,hef_linear_bert,hef_linear_bge,reciprocal_rank,within_linear
public__amazon_google__p70__seed20260726__hit_at_1,amazon_google,0.7,20260726,hef_linear_bert,hef_linear_bge,hit_at_1,within_linear
public__amazon_google__p70__seed20260726__reciprocal_rank,amazon_google,0.7,20260726,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,reciprocal_rank,within_gbdt
public__amazon_google__p70__seed20260726__hit_at_1,amazon_google,0.7,20260726,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,hit_at_1,within_gbdt
public__amazon_google__p70__seed20260726__reciprocal_rank,amazon_google,0.7,20260726,joint_neural_hef_roberta,joint_neural_hef_jina,reciprocal_rank,within_joint
public__amazon_google__p70__seed20260726__hit_at_1,amazon_google,0.7,20260726,joint_neural_hef_roberta,joint_neural_hef_jina,hit_at_1,within_joint
public__amazon_google__p70__seed20260727__reciprocal_rank,amazon_google,0.7,20260727,jina_finetuned,hef_linear_bert,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260727__hit_at_1,amazon_google,0.7,20260727,jina_finetuned,hef_linear_bert,hit_at_1,cross_family
public__amazon_google__p70__seed20260727__reciprocal_rank,amazon_google,0.7,20260727,jina_finetuned,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260727__hit_at_1,amazon_google,0.7,20260727,jina_finetuned,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__amazon_google__p70__seed20260727__reciprocal_rank,amazon_google,0.7,20260727,jina_finetuned,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260727__hit_at_1,amazon_google,0.7,20260727,jina_finetuned,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p70__seed20260727__reciprocal_rank,amazon_google,0.7,20260727,hef_linear_bert,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260727__hit_at_1,amazon_google,0.7,20260727,hef_linear_bert,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__amazon_google__p70__seed20260727__reciprocal_rank,amazon_google,0.7,20260727,hef_linear_bert,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260727__hit_at_1,amazon_google,0.7,20260727,hef_linear_bert,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p70__seed20260727__reciprocal_rank,amazon_google,0.7,20260727,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__amazon_google__p70__seed20260727__hit_at_1,amazon_google,0.7,20260727,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,hit_at_1,cross_family
public__amazon_google__p70__seed20260727__reciprocal_rank,amazon_google,0.7,20260727,jina_finetuned,roberta_finetuned,reciprocal_rank,within_standalone
public__amazon_google__p70__seed20260727__hit_at_1,amazon_google,0.7,20260727,jina_finetuned,roberta_finetuned,hit_at_1,within_standalone
public__amazon_google__p70__seed20260727__reciprocal_rank,amazon_google,0.7,20260727,official_ditto_plain,official_ditto_mixda,reciprocal_rank,within_standalone
public__amazon_google__p70__seed20260727__hit_at_1,amazon_google,0.7,20260727,official_ditto_plain,official_ditto_mixda,hit_at_1,within_standalone
public__amazon_google__p70__seed20260727__reciprocal_rank,amazon_google,0.7,20260727,hef_linear_bert,hef_linear_bge,reciprocal_rank,within_linear
public__amazon_google__p70__seed20260727__hit_at_1,amazon_google,0.7,20260727,hef_linear_bert,hef_linear_bge,hit_at_1,within_linear
public__amazon_google__p70__seed20260727__reciprocal_rank,amazon_google,0.7,20260727,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,reciprocal_rank,within_gbdt
public__amazon_google__p70__seed20260727__hit_at_1,amazon_google,0.7,20260727,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,hit_at_1,within_gbdt
public__amazon_google__p70__seed20260727__reciprocal_rank,amazon_google,0.7,20260727,joint_neural_hef_roberta,joint_neural_hef_jina,reciprocal_rank,within_joint
public__amazon_google__p70__seed20260727__hit_at_1,amazon_google,0.7,20260727,joint_neural_hef_roberta,joint_neural_hef_jina,hit_at_1,within_joint
public__walmart_amazon__p00__seed20260725__reciprocal_rank,walmart_amazon,0.0,20260725,jina_finetuned,hef_linear_bert,reciprocal_rank,cross_family
public__walmart_amazon__p00__seed20260725__hit_at_1,walmart_amazon,0.0,20260725,jina_finetuned,hef_linear_bert,hit_at_1,cross_family
public__walmart_amazon__p00__seed20260725__reciprocal_rank,walmart_amazon,0.0,20260725,jina_finetuned,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__walmart_amazon__p00__seed20260725__hit_at_1,walmart_amazon,0.0,20260725,jina_finetuned,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__walmart_amazon__p00__seed20260725__reciprocal_rank,walmart_amazon,0.0,20260725,jina_finetuned,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__walmart_amazon__p00__seed20260725__hit_at_1,walmart_amazon,0.0,20260725,jina_finetuned,joint_neural_hef_roberta,hit_at_1,cross_family
public__walmart_amazon__p00__seed20260725__reciprocal_rank,walmart_amazon,0.0,20260725,hef_linear_bert,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__walmart_amazon__p00__seed20260725__hit_at_1,walmart_amazon,0.0,20260725,hef_linear_bert,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__walmart_amazon__p00__seed20260725__reciprocal_rank,walmart_amazon,0.0,20260725,hef_linear_bert,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__walmart_amazon__p00__seed20260725__hit_at_1,walmart_amazon,0.0,20260725,hef_linear_bert,joint_neural_hef_roberta,hit_at_1,cross_family
public__walmart_amazon__p00__seed20260725__reciprocal_rank,walmart_amazon,0.0,20260725,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__walmart_amazon__p00__seed20260725__hit_at_1,walmart_amazon,0.0,20260725,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,hit_at_1,cross_family
public__walmart_amazon__p00__seed20260725__reciprocal_rank,walmart_amazon,0.0,20260725,jina_finetuned,roberta_finetuned,reciprocal_rank,within_standalone
public__walmart_amazon__p00__seed20260725__hit_at_1,walmart_amazon,0.0,20260725,jina_finetuned,roberta_finetuned,hit_at_1,within_standalone
public__walmart_amazon__p00__seed20260725__reciprocal_rank,walmart_amazon,0.0,20260725,official_ditto_plain,official_ditto_mixda,reciprocal_rank,within_standalone
public__walmart_amazon__p00__seed20260725__hit_at_1,walmart_amazon,0.0,20260725,official_ditto_plain,official_ditto_mixda,hit_at_1,within_standalone
public__walmart_amazon__p00__seed20260725__reciprocal_rank,walmart_amazon,0.0,20260725,hef_linear_bert,hef_linear_bge,reciprocal_rank,within_linear
public__walmart_amazon__p00__seed20260725__hit_at_1,walmart_amazon,0.0,20260725,hef_linear_bert,hef_linear_bge,hit_at_1,within_linear
public__walmart_amazon__p00__seed20260725__reciprocal_rank,walmart_amazon,0.0,20260725,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,reciprocal_rank,within_gbdt
public__walmart_amazon__p00__seed20260725__hit_at_1,walmart_amazon,0.0,20260725,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,hit_at_1,within_gbdt
public__walmart_amazon__p00__seed20260725__reciprocal_rank,walmart_amazon,0.0,20260725,joint_neural_hef_roberta,joint_neural_hef_jina,reciprocal_rank,within_joint
public__walmart_amazon__p00__seed20260725__hit_at_1,walmart_amazon,0.0,20260725,joint_neural_hef_roberta,joint_neural_hef_jina,hit_at_1,within_joint
public__walmart_amazon__p10__seed20260725__reciprocal_rank,walmart_amazon,0.1,20260725,jina_finetuned,hef_linear_bert,reciprocal_rank,cross_family
public__walmart_amazon__p10__seed20260725__hit_at_1,walmart_amazon,0.1,20260725,jina_finetuned,hef_linear_bert,hit_at_1,cross_family
public__walmart_amazon__p10__seed20260725__reciprocal_rank,walmart_amazon,0.1,20260725,jina_finetuned,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__walmart_amazon__p10__seed20260725__hit_at_1,walmart_amazon,0.1,20260725,jina_finetuned,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__walmart_amazon__p10__seed20260725__reciprocal_rank,walmart_amazon,0.1,20260725,jina_finetuned,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__walmart_amazon__p10__seed20260725__hit_at_1,walmart_amazon,0.1,20260725,jina_finetuned,joint_neural_hef_roberta,hit_at_1,cross_family
public__walmart_amazon__p10__seed20260725__reciprocal_rank,walmart_amazon,0.1,20260725,hef_linear_bert,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family
public__walmart_amazon__p10__seed20260725__hit_at_1,walmart_amazon,0.1,20260725,hef_linear_bert,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family
public__walmart_amazon__p10__seed20260725__reciprocal_rank,walmart_amazon,0.1,20260725,hef_linear_bert,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__walmart_amazon__p10__seed20260725__hit_at_1,walmart_amazon,0.1,20260725,hef_linear_bert,joint_neural_hef_roberta,hit_at_1,cross_family
public__walmart_amazon__p10__seed20260725__reciprocal_rank,walmart_amazon,0.1,20260725,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,reciprocal_rank,cross_family
public__walmart_amazon__p10__seed20260725__hit_at_1,walmart_amazon,0.1,20260725,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,hit_at_1,cross_family
public__walmart_amazon__p10__seed20260725__reciprocal_rank,walmart_amazon,0.1,20260725,jina_finetuned,roberta_finetuned,reciprocal_rank,within_standalone
public__walmart_amazon__p10__seed20260725__hit_at_1,walmart_amazon,0.1,20260725,jina_finetuned,roberta_finetuned,hit_at_1,within_standalone
public__walmart_amazon__p10__seed20260725__reciprocal_rank,walmart_amazon,0.1,20260725,official_ditto_plain,official_ditto_mixda,reciprocal_rank,within_standalone
public__walmart_amazon__p10__seed20260725__hit_at_1,walmart_amazon,0.1,20260725,official_ditto_plain,official_ditto_mixda,hit_at_1,within_standalone
public__walmart_amazon__p10__seed20260725__reciprocal_rank,walmart_amazon,0.1,20260725,hef_linear_bert,hef_linear_bge,reciprocal_rank,within_linear
